"";"Lever";"CashMedio";"CashDesvio";"CashPercentil25";"CashPercentil75";"CashRegretMedio";"CashRegretDesvio";"CashRegretPercentil25";"CashRegretPercentil75";"CashRegretPercMedio";"CashRegretPercDesvio";"CashRegretPercPercentil25";"CashRegretPercPercentil75"
"1";1;1506255,24296062;3178211,87855449;-46096,9594383776;1205759,52117998;2089170,51959029;2512531,67089894;175961,668490433;3599629,04117529;0,460111532264903;0,342355542981918;0,0983541559737954;0,832624837660845
"2";2;1787112,3967721;3599220,33642891;-80436,2279776734;1616902,80583085;1808313,36577881;2086929,90448612;217045,838038182;3082074,81749909;0,4195038409122;0,301804099092563;0,145684650820501;0,757153450368315
"3";3;1998334,27582369;3909330,27753616;-130827,139950176;1952249,23257066;1597091,48672722;1764181,7674709;245683,327232156;2684076,88884184;0,389347395795883;0,265859431639032;0,185441692915263;0,687265668568923
"4";4;2165352,41891218;4155488,13526939;-178601,879066773;2229285,70131247;1430073,34363873;1504390,46479978;272643,292954977;2352874,67982202;0,366494815706042;0,234248546137703;0,208721831462156;0,622878750400662
"5";5;2300975,17701347;4359722,37458205;-228874,453324743;2447122,44611692;1294450,58553743;1288451,51699224;319725,151592234;2137670,38072111;0,349248633772574;0,207451562974956;0,19820552061127;0,562759043084269
"6";6;2412972,78957731;4534429,04762297;-273567,485973282;2602192,65091332;1182452,97297359;1106865,50347992;350437,866812319;1846051,59924312;0,336536242260691;0,186559018814768;0,192677899601787;0,506454679408226
"7";7;2506365,32322278;4686824,9403523;-323155,033240255;2728700,87274491;1089060,43932813;955293,193038527;363626,988994129;1611694,81026828;0,327592207543598;0,173118636960154;0,166198144415878;0,453581435567391
"8";8;2584475,87495262;4822456,27156442;-376203,331477081;2831203,75031335;1010949,88759829;831113,938404959;358691,268927171;1491454,17229586;0,321929536592961;0,168455137071582;0,16576094101583;0,447741081483582
"9";9;2649846,70947466;4944359,15795116;-427331,345377873;2933832,7304534;945579,053076243;735958,272919619;315789,984733154;1501530,43536016;0,319116912876816;0,173131694914785;0,147932248165006;0,475772334851149
"10";10;2704323,80778796;5055144,63417648;-474685,118787221;3065910,5230401;891101,954762941;670982,425919872;283318,973407976;1356041,23437904;0,318847455743691;0,186387495820615;0,16534273058504;0,489761509420918
"11";11;2749706,18930814;5158106,15773979;-522044,374462164;3221656,69760586;845719,573242762;637628,245301728;296401,173668013;1247427,87932174;0,320855800206642;0,206618138200661;0,152391364184084;0,542509914644588
"12";12;2786433,51230615;5251746,4626114;-569409,10374618;3370158,47346845;808992,250244752;635537,72997615;256960,674716112;1239730,89355837;0,324943912598168;0,232083089033285;0,126185310454781;0,596344912003477
"13";13;2816065,35182545;5339954,83822612;-617668,39321767;3555229,47035667;779360,410725456;660467,837906308;238642,243680999;1060399,06372134;0,330943610993527;0,261391698533499;0,109118473496524;0,651094607160694
"14";14;2839510,21003373;5423637,67192678;-686727,815063583;3726191,18773635;755915,552517173;706635,135086907;203833,628315993;959162,083219307;0,338659627081711;0,29354854724699;0,0898945931185646;0,706681865207643
"15";15;2856641,44175681;5501267,12832547;-755983,920775994;3822136,47521795;738784,320794095;767810,861803318;199084,075088931;973837,392890145;0,348016229012131;0,327815785909916;0,0753416932898356;0,763323888847328
"16";16;2868553,12508454;5575155,37315094;-825471,245194532;4003215,80886109;726872,637466369;839446,383962663;164480,480360161;1023830,04531499;0,358884558520485;0,36374951848995;0,0557725333080744;0,821795165608235
"17";17;2875874,2091381;5646264,65074538;-920785,037181859;4179437,45500015;719551,553412805;917976,491076532;131444,388618994;1097308,07761286;0,371140897785526;0,401069381679764;0,0364711781486358;0,880678937522159
"18";18;2878665,19759627;5714272,90845227;-1003599,85814966;4340609,39252293;716760,56495464;1000728,63851793;70915,9072354469;1169442,06587659;0,384730553243612;0,439517160716943;0,0202757988660743;0,940051583048426
"19";19;2877212,84733329;5779222,41323892;-1086709,44614458;4521241,51313533;718212,915217619;1086048,86437064;0;1241386,41921668;0,399567337867302;0,478937798424882;0;1
"20";20;53932,8000225245;191414,623046663;527,940706200426;17500,1693318857;3541492,96252838;5110290,9828234;0;4516892,13634643;0,639546023976546;0,46884086003016;0;1
