"";"Lever";"sNPVProfit1RegretPercPercentil75";"sNPVProfit1RegretPercentil75";"LeverCode";"CasoBase";"aSwitchForCapacityStrategy1";"aPercPeDAberto1";"aDesiredMarketShare1";"aOrcamentoPeD1"
"1";19;0,341138798594652;"257M";"19";0;1;0;0,3;0,1
"2";25;0,306208267651806;"264M";"25";0;1;0;0,35;0,1
"3";31;0,300649986557126;"288M";"31";0;1;0;0,45;0,1
"4";49;0,453381692322177;"290M";"49";0;1;0;0,45;0,15
"5";43;0,435897441070486;"298M";"43";0;1;0;0,35;0,15
"6";37;0,47963104763125;"301M";"37";0;1;0;0,3;0,15
"7";7;0,301764709385082;"375M";"7";0;1;0;0,35;0,05
"8";26;0,453334710745803;"378M";"26";0;2;0;0,35;0,1
"9";32;0,453334710745803;"378M";"32";0;2;0;0,45;0,1
"10";20;0,453334710745803;"378M";"20";0;2;0;0,3;0,1
"11";1;0,306620000856621;"382M";"1";1;1;0;0,3;0,05
"12";8;0,408681730292057;"465M";"8";0;2;0;0,35;0,05
"13";14;0,408681730292057;"465M";"14";0;2;0;0,45;0,05
"14";2;0,409475200726454;"478M";"2";0;2;0;0,3;0,05
"15";38;0,538407480615973;"506M";"38";0;2;0;0,3;0,15
"16";44;0,537838158669642;"506M";"44";0;2;0;0,35;0,15
"17";50;0,537838158669642;"506M";"50";0;2;0;0,45;0,15
"18";13;0,468059632078671;"512M";"13";0;1;0;0,45;0,05
"19";10;0,505811459860347;"584M";"10";0;2;0,5;0,35;0,05
"20";16;0,505811459860347;"584M";"16";0;2;0,5;0,45;0,05
"21";4;0,505811459860347;"584M";"4";0;2;0,5;0,3;0,05
"22";21;0,512958445195661;"601M";"21";0;1;0,5;0,3;0,1
"23";3;0,453310273296932;"602M";"3";0;1;0,5;0,3;0,05
"24";28;0,572992855158693;"611M";"28";0;2;0,5;0,35;0,1
"25";34;0,572992855158693;"611M";"34";0;2;0,5;0,45;0,1
"26";22;0,575355211191723;"611M";"22";0;2;0,5;0,3;0,1
"27";27;0,497320860138363;"627M";"27";0;1;0,5;0,35;0,1
"28";9;0,467340855229979;"628M";"9";0;1;0,5;0,35;0,05
"29";45;0,609868049433659;"646M";"45";0;1;0,5;0,35;0,15
"30";39;0,637863661356501;"654M";"39";0;1;0,5;0,3;0,15
"31";40;0,685930957781491;"665M";"40";0;2;0,5;0,3;0,15
"32";46;0,685930957781491;"665M";"46";0;2;0,5;0,35;0,15
"33";52;0,685930957781491;"665M";"52";0;2;0,5;0,45;0,15
"34";6;0,564462078323465;"736M";"6";0;2;0,9;0,3;0,05
"35";12;0,564462078323465;"736M";"12";0;2;0,9;0,35;0,05
"36";18;0,564462078323465;"736M";"18";0;2;0,9;0,45;0,05
"37";51;0,719277547266394;"745M";"51";0;1;0,5;0,45;0,15
"38";33;0,636421943935905;"753M";"33";0;1;0,5;0,45;0,1
"39";5;0,589889836523246;"799M";"5";0;1;0,9;0,3;0,05
"40";15;0,655531515046829;"814M";"15";0;1;0,5;0,45;0,05
"41";24;0,773049661515164;"835M";"24";0;2;0,9;0,3;0,1
"42";30;0,773049661515164;"836M";"30";0;2;0,9;0,35;0,1
"43";36;0,773049661515164;"836M";"36";0;2;0,9;0,45;0,1
"44";11;0,597065827044971;"844M";"11";0;1;0,9;0,35;0,05
"45";23;0,703395980583507;"900M";"23";0;1;0,9;0,3;0,1
"46";42;0,927682040784814;"928M";"42";0;2;0,9;0,3;0,15
"47";48;0,928010625685133;"929M";"48";0;2;0,9;0,35;0,15
"48";54;0,928010625685133;"929M";"54";0;2;0,9;0,45;0,15
"49";29;0,724950966446795;"1.02B";"29";0;1;0,9;0,35;0,1
"50";17;0,770370093312984;"1.03B";"17";0;1;0,9;0,45;0,05
"51";41;0,908603802373305;"1.07B";"41";0;1;0,9;0,3;0,15
"52";47;0,901285589817709;"1.19B";"47";0;1;0,9;0,35;0,15
"53";35;0,882907702955581;"1.19B";"35";0;1;0,9;0,45;0,1
"54";53;1;"1.35B";"53";0;1;0,9;0,45;0,15
