"";"Rank";"Variavel";"MeanDecreaseGini"
"1";1;"aReferencePopulation";3,47931983321232
"2";2;"aInitialReorderShare";2,46692207180056
"3";3;"aFractionalDiscardRate";1,90725275136657
"4";4;"aNormalProfitMargin";1,42400289413283
"5";5;"aReferenceIndustryDemandElasticity";1,22170692102564
"6";6;"aTempoMedioRealizacaoPeD";1,21326198902444
"7";7;"aPopulation";1,21055902934152
"8";8;"aDesiredMarketShare4";1,19187231810516
"9";9;"aPercPeDAberto3";1,18982231848127
"10";10;"aSensOfPriceToShare";1,11743502416755
"11";11;"aSwitchForCapacityStrategy3";1,1156265472069
"12";12;"aSensOfPriceToCosts";1,11248931314136
"13";13;"aTaxaRejeicao";1,05414477817709
"14";14;"aSensOfAttractToPerformance";1,03052317012742
"15";15;"aOrcamentoPeD4";1,0062808328611
"16";16;"aOrcamentoPeD2";0,917384126728745
"17";17;"aLCStrength";0,902786701694448
"18";18;"aPerfSlope";0,863917269883151
"19";19;"aCapacityAcquisitionDelay";0,859596080543526
"20";20;"aDesiredMarketShare2";0,844139188085666
"21";21;"aPercPeDAberto2";0,805597627986776
"22";22;"aSwitchForCapacityStrategy4";0,748468452360959
"23";23;"aOrcamentoPeD3";0,744895073874502
"24";24;"aVolumeReportingDelay";0,728815636861001
"25";25;"aInnovatorAdoptionFraction";0,721376058321013
"26";26;"aSwitchForCapacityStrategy2";0,711140694301349
"27";27;"aWeightOnSupplyLine";0,687970365771285
"28";28;"aSensOfPriceToDSBalance";0,598698919966016
"29";29;"aPercPeDAberto4";0,58171851023022
"30";30;"aTempoMedioAvaliacao";0,562044278325522
"31";31;"aCustoMedioPatente";0,558164058687918
"32";32;"aNormalCapacityUtilization";0,548607670231984
"33";33;"aWOMStrength";0,528931099093584
"34";34;"aSensOfAttractToAvailability";0,522272436001002
"35";35;"aSensOfAttractToPrice";0,489067053565234
"36";36;"aTempodeInutilizacaoPatente";0,455529808411763
"37";37;"aDesiredMarketShare3";0,446395646989378
"38";38;"aRatioOfFixedToVarCost";0,433743449913228
